epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,96.677,0.20436,0.925,1,0.25343,0.000553682,0.000553682,0.000553682
2,171.294,0.10809,0.96071,1,0.08721,0.00106542,0.00106542,0.00106542
3,244.629,0.10447,0.97143,1,0.06549,0.00153315,0.00153315,0.00153315
4,315.357,0.08548,0.97679,1,0.07285,0.00146896,0.00146896,0.00146896
5,386.337,0.08241,0.9625,1,0.10097,0.00140295,0.00140295,0.00140295
6,460.041,0.075,0.98036,1,0.06082,0.00133693,0.00133693,0.00133693
7,531.591,0.0544,0.98929,1,0.03067,0.00127092,0.00127092,0.00127092
8,605.307,0.04509,0.98393,1,0.03782,0.00120491,0.00120491,0.00120491
9,685.297,0.03878,0.99464,1,0.03135,0.00113889,0.00113889,0.00113889
10,757.333,0.04652,0.9875,1,0.04003,0.00107288,0.00107288,0.00107288
11,833.773,0.03999,0.97857,1,0.04175,0.00100687,0.00100687,0.00100687
12,905.21,0.02758,0.99107,1,0.02019,0.000940855,0.000940855,0.000940855
